ID,TOKENS,GLOSS 3 ENGL,MODIFIED,GLOSA 1 PORT,COGID,PWT,GLOSA 2 ENGL,CONCEPT,IPA,PET,GLOSA 2 PORT,ALIGNMENT,COUNTERPART,GLOSA 3 PORT,CONTEXT,DOCULECT
394,k ã,,FALSE,,34,,,sleep,*kã-,,,k ã - -,,,AX,*PT
395,k a t∫ a,GLOSS 3 ENGL,FALSE,jirau,35,PWT,GLOSA 2 ENGL,elevated structure (shelves roof etc.),kaca,PET,GLOSA 2 PORT,k a t∫ a,kaca,GLOSA 3 PORT,AXBZ,BAS
396,k a j a,GLOSS 3 ENGL,FALSE,jirau,35,PWT,GLOSA 2 ENGL,elevated structure (shelves roof etc.),kaja,PET,GLOSA 2 PORT,k a j a,kaja,GLOSA 3 PORT,AXBZ,DES
397,k a j a,GLOSS 3 ENGL,FALSE,jirau,35,PWT,GLOSA 2 ENGL,elevated structure (shelves roof etc.),kaja,PET,GLOSA 2 PORT,k a j a,kaja,GLOSA 3 PORT,AXBZ,KAR
398,kh a j a,GLOSS 3 ENGL,FALSE,jirau,35,PWT,GLOSA 2 ENGL,elevated structure (shelves roof etc.),khaja,PET,GLOSA 2 PORT,kh a j a,khaja,GLOSA 3 PORT,AXBZ,KOR
399,k a j a,GLOSS 3 ENGL,FALSE,jirau,35,PWT,GLOSA 2 ENGL,elevated structure (shelves roof etc.),kaja,PET,GLOSA 2 PORT,k a j a,kaja,GLOSA 3 PORT,AXBZ,KUB
400,k a s a,GLOSS 3 ENGL,FALSE,jirau,35,PWT,GLOSA 2 ENGL,elevated structure (shelves roof etc.),kasa,PET,GLOSA 2 PORT,k a s a,kasa,GLOSA 3 PORT,AXBZ,TUK
401,k a s a,GLOSS 3 ENGL,FALSE,jirau,35,PWT,GLOSA 2 ENGL,elevated structure (shelves roof etc.),kasa,PET,GLOSA 2 PORT,k a s a,kasa,GLOSA 3 PORT,AXBZ,WAN
402,k a j a,,FALSE,,35,,,elevated structure (shelves roof etc.),*kaja,,,k a j a,,,AXBZ,*PT
403,k ĩ ĩ,GLOSS 3 ENGL,FALSE,mandioca,36,PWT,GLOSA 2 ENGL,manioc,kĩ,PET,GLOSA 2 PORT,k ĩ ĩ,kĩ,GLOSA 3 PORT,AXZ,BAS
404,k ĩ ĩ,GLOSS 3 ENGL,FALSE,mandioca,36,PWT,GLOSA 2 ENGL,manioc,kĩĩ,PET,GLOSA 2 PORT,k ĩ ĩ,kĩĩ,GLOSA 3 PORT,AXZ,DES
405,k i i,GLOSS 3 ENGL,FALSE,mandioca,36,PWT,GLOSA 2 ENGL,manioc,kii,PET,GLOSA 2 PORT,k i i,kii,GLOSA 3 PORT,AXZ,KAR
406,kh ɨ i,GLOSS 3 ENGL,FALSE,mandioca,36,PWT,GLOSA 2 ENGL,manioc,khɨi,PET,GLOSA 2 PORT,kh ɨ i,khɨi,GLOSA 3 PORT,AXZ,KOR
407,k ɨ i,GLOSS 3 ENGL,FALSE,mandioca,36,PWT,GLOSA 2 ENGL,manioc,kɨi,PET,GLOSA 2 PORT,k ɨ i,kɨi,GLOSA 3 PORT,AXZ,KUB
408,k ɨ,GLOSS 3 ENGL,FALSE,mandioca,36,PWT,GLOSA 2 ENGL,manioc,kɨ,PET,GLOSA 2 PORT,k ɨ -,kɨ,GLOSA 3 PORT,AX,KUE
409,k ɨ i,GLOSS 3 ENGL,FALSE,mandioca,36,PWT,GLOSA 2 ENGL,manioc,kɨi,PET,GLOSA 2 PORT,k ɨ i,kɨi,GLOSA 3 PORT,AXZ,MAI
410,k ɨ i,GLOSS 3 ENGL,FALSE,mandioca,36,PWT,GLOSA 2 ENGL,manioc,kɨi,PET,GLOSA 2 PORT,k ɨ i,kɨi,GLOSA 3 PORT,AXZ,SIO
411,k i,GLOSS 3 ENGL,FALSE,mandioca,36,PWT,GLOSA 2 ENGL,manioc,ki,PET,GLOSA 2 PORT,k - i,ki,GLOSA 3 PORT,AX,TAN
412,k i i,GLOSS 3 ENGL,FALSE,mandioca,36,PWT,GLOSA 2 ENGL,manioc,kii,PET,GLOSA 2 PORT,k i i,kii,GLOSA 3 PORT,AXZ,TUK
413,kh ɨ ɨ,GLOSS 3 ENGL,FALSE,mandioca,36,PWT,GLOSA 2 ENGL,manioc,khɨɨ,PET,GLOSA 2 PORT,kh ɨ ɨ,khɨɨ,GLOSA 3 PORT,AXZ,WAN
414,k ɨ i,,TRUE,,36,,,manioc,*kɨi,,,k ɨ i,,,AXZ,*PT
415,k õ n ẽ,GLOSS 3 ENGL,FALSE,pica-pau,37,PWT,GLOSA 2 ENGL,woodpecker,~kode,PET,GLOSA 2 PORT,k õ n ẽ,~kode,GLOSA 3 PORT,AXBZ,BAS
416,k õ n ẽ,GLOSS 3 ENGL,FALSE,pica-pau,37,PWT,GLOSA 2 ENGL,woodpecker,~kode,PET,GLOSA 2 PORT,k õ n ẽ,~kode,GLOSA 3 PORT,AXBZ,DES
417,k õ n ẽ,GLOSS 3 ENGL,FALSE,pica-pau,37,PWT,GLOSA 2 ENGL,woodpecker,~kode,PET,GLOSA 2 PORT,k õ n ẽ,~kode,GLOSA 3 PORT,AXBZ,KAR
418,kh õ n e,GLOSS 3 ENGL,FALSE,pica-pau,37,PWT,GLOSA 2 ENGL,woodpecker,khõne,PET,GLOSA 2 PORT,kh õ n e,khõne,GLOSA 3 PORT,AXBZ,KOR
419,k õ n ẽ,GLOSS 3 ENGL,FALSE,pica-pau,37,PWT,GLOSA 2 ENGL,woodpecker,~kode,PET,GLOSA 2 PORT,k õ n ẽ,~kode,GLOSA 3 PORT,AXBZ,KUB
420,k o n e,GLOSS 3 ENGL,FALSE,pica-pau,37,PWT,GLOSA 2 ENGL,woodpecker,kone,PET,GLOSA 2 PORT,k o n e,kone,GLOSA 3 PORT,AXBZ,MAI
421,k õ n e,GLOSS 3 ENGL,FALSE,pica-pau,37,PWT,GLOSA 2 ENGL,woodpecker,kõne,PET,GLOSA 2 PORT,k õ n e,kõne,GLOSA 3 PORT,AXBZ,SEK
422,k o n e,GLOSS 3 ENGL,FALSE,pica-pau,37,PWT,GLOSA 2 ENGL,woodpecker,kone,PET,GLOSA 2 PORT,k o n e,kone,GLOSA 3 PORT,AXBZ,SIO
423,k õ n ẽ,GLOSS 3 ENGL,FALSE,pica-pau,37,PWT,GLOSA 2 ENGL,woodpecker,~kode,PET,GLOSA 2 PORT,k õ n ẽ,~kode,GLOSA 3 PORT,AXBZ,TUK
424,kh õ n ẽ,GLOSS 3 ENGL,FALSE,pica-pau,37,PWT,GLOSA 2 ENGL,woodpecker,~khode,PET,GLOSA 2 PORT,kh õ n ẽ,~khode,GLOSA 3 PORT,AXBZ,WAN
425,k o n e,,FALSE,,37,,,woodpecker,*kone,,,k o n e,,,AXBZ,*PT
426,k ũ n ĩ,GLOSS 3 ENGL,FALSE,morder,38,PWT,GLOSA 2 ENGL,to bite,~kuni,PET,GLOSA 2 PORT,k ũ n ĩ,~kuni,GLOSA 3 PORT,AXBZ,BAS
427,k ũ n ĩ,GLOSS 3 ENGL,FALSE,morder,38,PWT,GLOSA 2 ENGL,to bite,~kudi,PET,GLOSA 2 PORT,k ũ n ĩ,~kudi,GLOSA 3 PORT,AXBZ,DES
428,kh ũ ʔ i,GLOSS 3 ENGL,FALSE,morder,38,PWT,GLOSA 2 ENGL,to bite,khũʔi,PET,GLOSA 2 PORT,kh ũ ʔ i,khũʔi,GLOSA 3 PORT,AXBZ,KOR
429,k ũ,GLOSS 3 ENGL,FALSE,morder,38,PWT,GLOSA 2 ENGL,to bite,~ku,PET,GLOSA 2 PORT,k ũ - -,~ku,GLOSA 3 PORT,AX,KUB
430,k ũ i,GLOSS 3 ENGL,FALSE,morder,38,PWT,GLOSA 2 ENGL,to bite,kũi,PET,GLOSA 2 PORT,k ũ - i,kũi,GLOSA 3 PORT,AXZ,MAI
431,k õ k ɨ,GLOSS 3 ENGL,FALSE,morder,38,PWT,GLOSA 2 ENGL,to bite,kõkɨ,PET,GLOSA 2 PORT,k õ k ɨ,kõkɨ,GLOSA 3 PORT,AXBZ,SEK
432,k ũ ʔ i,GLOSS 3 ENGL,FALSE,morder,38,PWT,GLOSA 2 ENGL,to bite,kũʔi,PET,GLOSA 2 PORT,k ũ ʔ i,kũʔi,GLOSA 3 PORT,AXBZ,SIO
433,k u ʔk u,GLOSS 3 ENGL,FALSE,morder,38,PWT,GLOSA 2 ENGL,to bite,kuʔku,PET,GLOSA 2 PORT,k u ʔk u,kuʔku,GLOSA 3 PORT,AXBZ,TAN
434,k ũ ʔn ĩ,GLOSS 3 ENGL,FALSE,morder,38,PWT,GLOSA 2 ENGL,to bite,~kuʔdi,PET,GLOSA 2 PORT,k ũ ʔn ĩ,~kuʔdi,GLOSA 3 PORT,AXBZ,TUK
435,b a k a,GLOSS 3 ENGL,FALSE,morder,142,PWT,GLOSA 2 ENGL,to bite,baka,PET,GLOSA 2 PORT,b a k a - -,baka,GLOSA 3 PORT,AXBZ,TUY
436,k ũ r̃ ĩ,GLOSS 3 ENGL,FALSE,morder,38,PWT,GLOSA 2 ENGL,to bite,~kuri,PET,GLOSA 2 PORT,k ũ r ĩ,~kuri,GLOSA 3 PORT,AXBZ,YUP
437,k ũ,,FALSE,,38,,,to bite,*kũ,,,k ũ - -,,,AX,*PT
438,k u ẽ s o,GLOSS 3 ENGL,FALSE,Capivara,39,PWT,GLOSA 2 ENGL,capybara,kuẽso,PET,GLOSA 2 PORT,kw ẽ s o,kuẽso,GLOSA 3 PORT,AXYBZ,KOR
439,k e t u,GLOSS 3 ENGL,FALSE,Capivara,39,PWT,GLOSA 2 ENGL,capybara,ketu,PET,GLOSA 2 PORT,k e t u,ketu,GLOSA 3 PORT,AXBZ,KUE
440,k u e s o,GLOSS 3 ENGL,FALSE,Capivara,39,PWT,GLOSA 2 ENGL,capybara,kueso,PET,GLOSA 2 PORT,kw e s o,kueso,GLOSA 3 PORT,AXYBZ,SEK
441,kʔ u e s o,GLOSS 3 ENGL,FALSE,Capivara,39,PWT,GLOSA 2 ENGL,capybara,kʔueso,PET,GLOSA 2 PORT,kwʔ e s o,kʔueso,GLOSA 3 PORT,AXYBZ,SIO
442,k e e h u,GLOSS 3 ENGL,FALSE,Capivara,39,PWT,GLOSA 2 ENGL,capybara,keehu,PET,GLOSA 2 PORT,k e h u,keehu,GLOSA 3 PORT,AXYBZ,TAN
443,k w e t j u,,FALSE,,39,,,capybara,*kwetju,,,kw e tj u,,,AXBZ,*PT
444,k o d e,GLOSS 3 ENGL,FALSE,esperar,40,PWT,GLOSA 2 ENGL,wait,kode,PET,GLOSA 2 PORT,k o d e,kode,GLOSA 3 PORT,AXBZ,BAS
445,k o d e,GLOSS 3 ENGL,FALSE,esperar,40,PWT,GLOSA 2 ENGL,wait,kode,PET,GLOSA 2 PORT,k o d e,kode,GLOSA 3 PORT,AXBZ,DES
446,k o d e,GLOSS 3 ENGL,FALSE,esperar,40,PWT,GLOSA 2 ENGL,wait,kode,PET,GLOSA 2 PORT,k o d e,kode,GLOSA 3 PORT,AXBZ,KUB
447,h o t e,GLOSS 3 ENGL,FALSE,esperar,40,PWT,GLOSA 2 ENGL,wait,hote,PET,GLOSA 2 PORT,h o t e,hote,GLOSA 3 PORT,AXBZ,KUE
448,ɨ̃ t e,GLOSS 3 ENGL,FALSE,esperar,40,PWT,GLOSA 2 ENGL,wait,ɨ̃te,PET,GLOSA 2 PORT,- ɨ̃ t e,ɨ̃te,GLOSA 3 PORT,XBZ,MAI
449,u t e,GLOSS 3 ENGL,FALSE,esperar,40,PWT,GLOSA 2 ENGL,wait,ute,PET,GLOSA 2 PORT,- u t e,ute,GLOSA 3 PORT,XBZ,SEK
450,k o ʔt e,GLOSS 3 ENGL,FALSE,esperar,40,PWT,GLOSA 2 ENGL,wait,koʔte,PET,GLOSA 2 PORT,k o ʔt e,koʔte,GLOSA 3 PORT,AXBZ,TUK
451,k o ʔt a,GLOSS 3 ENGL,FALSE,esperar,40,PWT,GLOSA 2 ENGL,wait,koʔta,PET,GLOSA 2 PORT,k o ʔt a,koʔta,GLOSA 3 PORT,AXBZ,WAN
452,k o r e,GLOSS 3 ENGL,FALSE,esperar,40,PWT,GLOSA 2 ENGL,wait,kore,PET,GLOSA 2 PORT,k o r e,kore,GLOSA 3 PORT,AXBZ,YUP
453,kw ɨ tʔ e,,TRUE,,40,,,wait,*kwɨtʔe,,,kw ɨ tʔ e,,,AXBZ,*PT
454,m ã h ã,GLOSS 3 ENGL,FALSE,arara,41,PWT,GLOSA 2 ENGL,macaw,~baha,PET,GLOSA 2 PORT,( - - - ) m ã h ã,~baha,GLOSA 3 PORT,AXBZ,BAS
455,m ã h ã,GLOSS 3 ENGL,FALSE,arara,41,PWT,GLOSA 2 ENGL,macaw,~baha,PET,GLOSA 2 PORT,( - - - ) m ã h ã,~baha,GLOSA 3 PORT,AXBZ,DES
456,m a a,GLOSS 3 ENGL,FALSE,arara,41,PWT,GLOSA 2 ENGL,macaw,~baa,PET,GLOSA 2 PORT,( - - - ) m a - a,~baa,GLOSA 3 PORT,AXZ,KAR
457,m a a,GLOSS 3 ENGL,FALSE,arara,41,PWT,GLOSA 2 ENGL,macaw,maa,PET,GLOSA 2 PORT,( - - - ) m a - a,maa,GLOSA 3 PORT,AXZ,KOR
458,m ã,GLOSS 3 ENGL,FALSE,arara,41,PWT,GLOSA 2 ENGL,macaw,~ma,PET,GLOSA 2 PORT,( - - - ) m ã - -,~ma,GLOSA 3 PORT,AX,KUB
459,m a,GLOSS 3 ENGL,FALSE,arara,41,PWT,GLOSA 2 ENGL,macaw,ma,PET,GLOSA 2 PORT,( - - - ) m a - -,ma,GLOSA 3 PORT,AX,MAI
460,t o a m a,GLOSS 3 ENGL,FALSE,arara,41,PWT,GLOSA 2 ENGL,macaw,toa+ma,PET,GLOSA 2 PORT,( t o a ) m a - -,toa-ma,GLOSA 3 PORT,AXYBZ,SEK
461,m a,GLOSS 3 ENGL,FALSE,arara,41,PWT,GLOSA 2 ENGL,macaw,ma,PET,GLOSA 2 PORT,( - - - ) m a - -,ma,GLOSA 3 PORT,AX,SIO
462,m ã h ã,GLOSS 3 ENGL,FALSE,arara,41,PWT,GLOSA 2 ENGL,macaw,~baha,PET,GLOSA 2 PORT,( - - - ) m ã h ã,~baha,GLOSA 3 PORT,AXBZ,TUK
463,m ã h ã,GLOSS 3 ENGL,FALSE,arara,41,PWT,GLOSA 2 ENGL,macaw,~baha,PET,GLOSA 2 PORT,( - - - ) m ã h ã,~baha,GLOSA 3 PORT,AXBZ,WAN
464,m a h a,,FALSE,,41,,,macaw,*maha,,,( - - - ) m a h a,,,AXBZ,*PT
465,m ã c ĩ,GLOSS 3 ENGL,FALSE,saber,42,PWT,GLOSA 2 ENGL,know,~baci,PET,GLOSA 2 PORT,m ã ts ĩ,~baci,GLOSA 3 PORT,AXBZ,BAS
466,m ã s ĩ,GLOSS 3 ENGL,FALSE,saber,42,PWT,GLOSA 2 ENGL,know,~basi,PET,GLOSA 2 PORT,m ã s ĩ,~basi,GLOSA 3 PORT,AXBZ,DES
467,m a s i,GLOSS 3 ENGL,FALSE,saber,42,PWT,GLOSA 2 ENGL,know,masi,PET,GLOSA 2 PORT,m a s i,masi,GLOSA 3 PORT,AXBZ,KOR
468,m a h i,GLOSS 3 ENGL,FALSE,saber,42,PWT,GLOSA 2 ENGL,know,mahi,PET,GLOSA 2 PORT,m a h i,mahi,GLOSA 3 PORT,AXBZ,KUB
469,m a s i,GLOSS 3 ENGL,FALSE,saber,42,PWT,GLOSA 2 ENGL,know,masi,PET,GLOSA 2 PORT,m a s i,masi,GLOSA 3 PORT,AXBZ,KUE
470,m a ʔs i,GLOSS 3 ENGL,TRUE,saber,42,PWT,GLOSA 2 ENGL,know,maʔsi,PET,GLOSA 2 PORT,m a ʔs i,maʔsi,GLOSA 3 PORT,AXBZ,SIO
471,m ã s ĩ,GLOSS 3 ENGL,FALSE,saber,42,PWT,GLOSA 2 ENGL,know,~basi,PET,GLOSA 2 PORT,m ã s ĩ,~basi,GLOSA 3 PORT,AXBZ,TUK
472,m ã s ĩ,GLOSS 3 ENGL,FALSE,saber,42,PWT,GLOSA 2 ENGL,know,~basi,PET,GLOSA 2 PORT,m ã s ĩ,~basi,GLOSA 3 PORT,AXBZ,TUY
473,m ã s ĩ,GLOSS 3 ENGL,FALSE,saber,42,PWT,GLOSA 2 ENGL,know,~basi,PET,GLOSA 2 PORT,m ã s ĩ,~basi,GLOSA 3 PORT,AXBZ,WAN
474,m a s i,,FALSE,,42,,,know,*masi,,,m a s i,,,AXBZ,*PT
475,m a a,GLOSS 3 ENGL,FALSE,caminho,43,PWT,GLOSA 2 ENGL,path,~baa,PET,GLOSA 2 PORT,m a - a,~baa,GLOSA 3 PORT,AXZ,BAS
476,m ã ʔ ã,GLOSS 3 ENGL,FALSE,caminho,43,PWT,GLOSA 2 ENGL,path,~baʔa,PET,GLOSA 2 PORT,m ã ʔ ã,~baʔa,GLOSA 3 PORT,AXBZ,DES
477,m ã ʔ ã,GLOSS 3 ENGL,FALSE,caminho,43,PWT,GLOSA 2 ENGL,path,~baʔa,PET,GLOSA 2 PORT,m ã ʔ ã,~baʔa,GLOSA 3 PORT,AXBZ,KAR
478,m a ʔ a,GLOSS 3 ENGL,FALSE,caminho,43,PWT,GLOSA 2 ENGL,path,maʔa,PET,GLOSA 2 PORT,m a ʔ a,maʔa,GLOSA 3 PORT,AXBZ,KOR
479,m ã,GLOSS 3 ENGL,FALSE,caminho,43,PWT,GLOSA 2 ENGL,path,~ba,PET,GLOSA 2 PORT,m ã - -,~ba,GLOSA 3 PORT,AX,KUB
480,m a a,GLOSS 3 ENGL,FALSE,caminho,43,PWT,GLOSA 2 ENGL,path,maa,PET,GLOSA 2 PORT,m a - a,maa,GLOSA 3 PORT,AXZ,KUE
481,m a,GLOSS 3 ENGL,FALSE,caminho,43,PWT,GLOSA 2 ENGL,path,ma,PET,GLOSA 2 PORT,m a - -,ma,GLOSA 3 PORT,AX,MAI
482,m a ʔ a,GLOSS 3 ENGL,FALSE,caminho,43,PWT,GLOSA 2 ENGL,path,maʔa,PET,GLOSA 2 PORT,m a ʔ a,maʔa,GLOSA 3 PORT,AXBZ,SEK
483,m a ʔ a,GLOSS 3 ENGL,FALSE,caminho,43,PWT,GLOSA 2 ENGL,path,maʔa,PET,GLOSA 2 PORT,m a ʔ a,maʔa,GLOSA 3 PORT,AXBZ,SIO
484,m ã ʔ ã,GLOSS 3 ENGL,FALSE,caminho,43,PWT,GLOSA 2 ENGL,path,~baʔa,PET,GLOSA 2 PORT,m ã ʔ ã,~baʔa,GLOSA 3 PORT,AXBZ,TAN
485,m ã,GLOSS 3 ENGL,FALSE,caminho,43,PWT,GLOSA 2 ENGL,path,~ba,PET,GLOSA 2 PORT,m ã - -,~ba,GLOSA 3 PORT,AX,TUK
486,m a a,GLOSS 3 ENGL,FALSE,caminho,43,PWT,GLOSA 2 ENGL,path,~baa,PET,GLOSA 2 PORT,m a - a,~baa,GLOSA 3 PORT,AXZ,TUY
487,m ã ʔ ã,GLOSS 3 ENGL,FALSE,caminho,43,PWT,GLOSA 2 ENGL,path,~baʔa,PET,GLOSA 2 PORT,m ã ʔ ã,~baʔa,GLOSA 3 PORT,AXBZ,WAN
488,m a ʔ a,,FALSE,,43,,,path,*maʔa,,,m a ʔ a,,,AXBZ,*PT
489,m ẽ k ã,GLOSS 3 ENGL,FALSE,formiga sp.,44,PWT,GLOSA 2 ENGL,ant sp.,~beka,PET,GLOSA 2 PORT,m ẽ k ã,~beka,GLOSA 3 PORT,AXBZ,BAS
490,m ẽ ŋ ã,GLOSS 3 ENGL,FALSE,formiga sp.,44,PWT,GLOSA 2 ENGL,ant sp.,~bega,PET,GLOSA 2 PORT,m ẽ ŋ ã,~bega,GLOSA 3 PORT,AXBZ,DES
491,m ẽ k ã,GLOSS 3 ENGL,FALSE,formiga sp.,44,PWT,GLOSA 2 ENGL,ant sp.,~beka,PET,GLOSA 2 PORT,m ẽ k ã,~beka,GLOSA 3 PORT,AXBZ,KAR
492,m e kh a,GLOSS 3 ENGL,FALSE,formiga sp.,44,PWT,GLOSA 2 ENGL,ant sp.,mekha,PET,GLOSA 2 PORT,m e kh a,mekha,GLOSA 3 PORT,AXBZ,KOR
493,m ẽ ã,GLOSS 3 ENGL,FALSE,formiga sp.,44,PWT,GLOSA 2 ENGL,ant sp.,~bea,PET,GLOSA 2 PORT,m ẽ - ã,~bea,GLOSA 3 PORT,AXZ,KUB
494,m e ki a,GLOSS 3 ENGL,FALSE,formiga sp.,44,PWT,GLOSA 2 ENGL,ant sp.,mekia,PET,GLOSA 2 PORT,m e kj a,mekia,GLOSA 3 PORT,AXBZ,KUE
495,m e k a,GLOSS 3 ENGL,FALSE,formiga sp.,44,PWT,GLOSA 2 ENGL,ant sp.,meka,PET,GLOSA 2 PORT,m e k a,meka,GLOSA 3 PORT,AXBZ,MAI
496,m e a,GLOSS 3 ENGL,FALSE,formiga sp.,44,PWT,GLOSA 2 ENGL,ant sp.,mea,PET,GLOSA 2 PORT,m e - a,mea,GLOSA 3 PORT,AXZ,SIO
497,m ẽ k ã,GLOSS 3 ENGL,FALSE,formiga sp.,44,PWT,GLOSA 2 ENGL,ant sp.,~beka,PET,GLOSA 2 PORT,m ẽ k ã,~beka,GLOSA 3 PORT,AXBZ,TAN
498,m ẽ k ã,GLOSS 3 ENGL,FALSE,formiga sp.,44,PWT,GLOSA 2 ENGL,ant sp.,~beka,PET,GLOSA 2 PORT,m ẽ k ã,~beka,GLOSA 3 PORT,AXBZ,TUK
499,m ã t∫ ɨ̃,GLOSS 3 ENGL,FALSE,formiga sp.,44,PWT,GLOSA 2 ENGL,ant sp.,~bat∫ɨ,PET,GLOSA 2 PORT,m ã t∫ ɨ̃,~bat∫ɨ,GLOSA 3 PORT,AXBZ,WAN
500,m e k a,,FALSE,,44,,,ant sp.,*meka,,,m e k a,,,AXBZ,*PT
501,m ĩ m ĩ,GLOSS 3 ENGL,FALSE,beija-flor,45,PWT,GLOSA 2 ENGL,hummingbird,~bibi,PET,GLOSA 2 PORT,m ĩ m ĩ,~bibi,GLOSA 3 PORT,AXBZ,BAS
502,m ĩ m ĩ,GLOSS 3 ENGL,FALSE,beija-flor,45,PWT,GLOSA 2 ENGL,hummingbird,~bibi,PET,GLOSA 2 PORT,m ĩ m ĩ,~bibi,GLOSA 3 PORT,AXBZ,DES
503,m ĩ m ĩ,GLOSS 3 ENGL,FALSE,beija-flor,45,PWT,GLOSA 2 ENGL,hummingbird,~bibi,PET,GLOSA 2 PORT,m ĩ m ĩ,~bibi,GLOSA 3 PORT,AXBZ,KAR
504,m i m i,GLOSS 3 ENGL,FALSE,beija-flor,45,PWT,GLOSA 2 ENGL,hummingbird,mimi,PET,GLOSA 2 PORT,m i m i,mimi,GLOSA 3 PORT,AXBZ,KOR
505,m ĩ m ĩ,GLOSS 3 ENGL,FALSE,beija-flor,45,PWT,GLOSA 2 ENGL,hummingbird,~bibi,PET,GLOSA 2 PORT,m ĩ m ĩ,~bibi,GLOSA 3 PORT,AXBZ,KUB
506,m i m i,GLOSS 3 ENGL,FALSE,beija-flor,45,PWT,GLOSA 2 ENGL,hummingbird,mimi,PET,GLOSA 2 PORT,m i m i,mimi,GLOSA 3 PORT,AXBZ,KUE
507,m i m i,GLOSS 3 ENGL,FALSE,beija-flor,45,PWT,GLOSA 2 ENGL,hummingbird,mimi,PET,GLOSA 2 PORT,m i m i,mimi,GLOSA 3 PORT,AXBZ,MAI
508,m i m i,GLOSS 3 ENGL,FALSE,beija-flor,45,PWT,GLOSA 2 ENGL,hummingbird,mimi,PET,GLOSA 2 PORT,m i m i,mimi,GLOSA 3 PORT,AXBZ,SEK
509,m i m i,GLOSS 3 ENGL,FALSE,beija-flor,45,PWT,GLOSA 2 ENGL,hummingbird,mimi,PET,GLOSA 2 PORT,m i m i,mimi,GLOSA 3 PORT,AXBZ,SIO
510,m ĩ m ĩ,GLOSS 3 ENGL,FALSE,beija-flor,45,PWT,GLOSA 2 ENGL,hummingbird,~bibi,PET,GLOSA 2 PORT,m ĩ m ĩ,~bibi,GLOSA 3 PORT,AXBZ,TUK
511,w̃ ĩ ʔm ĩ,GLOSS 3 ENGL,FALSE,beija-flor,45,PWT,GLOSA 2 ENGL,hummingbird,~wiʔbi,PET,GLOSA 2 PORT,w̃ ĩ ʔm ĩ,~wiʔbi,GLOSA 3 PORT,AXBZ,WAN
512,m i m i,,FALSE,,45,,,hummingbird,*mimi,,,m i m i,,,AXBZ,*PT
513,m ɨ̃ ã,GLOSS 3 ENGL,FALSE,vocês,46,PWT,GLOSA 2 ENGL,you all,~bɨa,PET,GLOSA 2 PORT,m ɨ̃ - ã ( - - - - - - ),~bɨa,GLOSA 3 PORT,AXZ,BAS
514,m ɨ̃ ã,GLOSS 3 ENGL,FALSE,vocês,46,PWT,GLOSA 2 ENGL,you all,~bɨa,PET,GLOSA 2 PORT,m ɨ̃ - ã ( - - - - - - ),~bɨa,GLOSA 3 PORT,AXZ,DES
515,m ɨ̃ s ã,GLOSS 3 ENGL,FALSE,vocês,46,PWT,GLOSA 2 ENGL,you all,~bɨsa,PET,GLOSA 2 PORT,m ɨ̃ s ã ( - - - - - - ),~bɨsa,GLOSA 3 PORT,AXBZ,KAR
516,m ɨ s a n ɨ kh o n a,GLOSS 3 ENGL,FALSE,vocês,46,PWT,GLOSA 2 ENGL,you all,mɨsanɨkhona,PET,GLOSA 2 PORT,m ɨ s a ( n ɨ kh o n a ),mɨsanɨkhona,GLOSA 3 PORT,AXBYBYBYBZ,KOR
517,m ɨ̃ h ã,GLOSS 3 ENGL,FALSE,vocês,46,PWT,GLOSA 2 ENGL,you all,~bɨha,PET,GLOSA 2 PORT,m ɨ̃ h ã ( - - - - - - ),~bɨha,GLOSA 3 PORT,AXBZ,KUB
518,m ɨ t a,GLOSS 3 ENGL,FALSE,vocês,46,PWT,GLOSA 2 ENGL,you all,mɨta,PET,GLOSA 2 PORT,m ɨ t a ( - - - - - - ),mɨta,GLOSA 3 PORT,AXBZ,KUE
519,m ɨ s a,GLOSS 3 ENGL,FALSE,vocês,46,PWT,GLOSA 2 ENGL,you all,mɨsa,PET,GLOSA 2 PORT,m ɨ s a ( - - - - - - ),mɨsa,GLOSA 3 PORT,AXBZ,MAI
520,m ɨ s a r u,GLOSS 3 ENGL,FALSE,vocês,46,PWT,GLOSA 2 ENGL,you all,mɨsaru,PET,GLOSA 2 PORT,m ɨ s a ( - - r - - u ),mɨsaru,GLOSA 3 PORT,AXBYBZ,SEK
521,m ɨ s a k w a,GLOSS 3 ENGL,FALSE,vocês,46,PWT,GLOSA 2 ENGL,you all,mɨsakwa,PET,GLOSA 2 PORT,m ɨ s a ( - - k - w a ),mɨsakwa,GLOSA 3 PORT,AXBYBCZ,SIO
522,m ĩ h ã,GLOSS 3 ENGL,FALSE,vocês,46,PWT,GLOSA 2 ENGL,you all,~biha,PET,GLOSA 2 PORT,m ĩ h ã ( - - - - - - ),~biha,GLOSA 3 PORT,AXBZ,TAN
523,m ɨ̃ s ã,GLOSS 3 ENGL,FALSE,vocês,46,PWT,GLOSA 2 ENGL,you all,~bɨsa,PET,GLOSA 2 PORT,m ɨ̃ s ã ( - - - - - - ),~bɨsa,GLOSA 3 PORT,AXBZ,TUK
524,m ɨ̃ ã,GLOSS 3 ENGL,FALSE,vocês,46,PWT,GLOSA 2 ENGL,you all,~bɨa,PET,GLOSA 2 PORT,m ɨ̃ - ã ( - - - - - - ),~bɨa,GLOSA 3 PORT,AXZ,TUY
